uniprot_id,name,length,organism,in_alphafold,downloaded
A0A011M7F2,Ribulose bisphosphate carboxylase,459,Candidatus Accumulibacter adjunctus,True,True
A0A011Q0C5,Ribulose bisphosphate carboxylase,459,Candidatus Accumulibacter appositus,True,True
A0A011QCF7,Ribulose bisphosphate carboxylase,483,Candidatus Accumulibacter sp. SK-11,True,True
A0A011QGM4,Ribulose bisphosphate carboxylase,459,Accumulibacter regalis,True,True
A0A017HM60,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,370,Rubellimicrobium mesophilum DSM 19309,True,True
A0A021X0E6,Ribulose bisphosphate carboxylase-like protein,418,Shinella sp. DD12,True,True
A0A021X918,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,372,Shinella sp. DD12,True,True
A0A022FRG4,Ribulose bisphosphate carboxylase large chain,486,Cupriavidus sp. SK-4,True,True
A0A023D5D1,Ribulose bisphosphate carboxylase large chain,484,Acidomonas methanolica NBRC 104435,True,True
A0A023DC76,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase",413,Parageobacillus caldoxylosilyticus NBRC 107762,True,True
A0A023HAP8,Ribulose bisphosphate carboxylase large chain,490,Didymosphenia geminata,True,True
A0A023HBP6,Ribulose bisphosphate carboxylase large chain,490,Cylindrotheca closterium,True,True
A0A023HBU5,Ribulose bisphosphate carboxylase large chain,490,Leptocylindrus danicus,True,True
A0A023HHH7,Ribulose bisphosphate carboxylase large chain,202,Calligonum comosum,False,False
A0A023HHI1,Ribulose bisphosphate carboxylase large chain,202,Calligonum arich,False,False
A0A023HHI6,Ribulose bisphosphate carboxylase large chain,202,Calligonum azel,False,False
A0A023HHJ5,Ribulose bisphosphate carboxylase large chain,202,Calligonum arich,False,False
A0A023HHJ8,Ribulose bisphosphate carboxylase large chain,202,Calligonum comosum,False,False
A0A023HHJ9,Ribulose bisphosphate carboxylase large chain,202,Calligonum azel,False,False
A0A023HHK7,Ribulose bisphosphate carboxylase large chain,202,Calligonum arich,False,False
A0A023HHP2,Ribulose bisphosphate carboxylase large chain,475,Euglenaformis proxima,True,True
A0A023HHU9,Ribulose bisphosphate carboxylase large chain,475,Auxenochlorella protothecoides,True,True
A0A023HN41,Ribulose bisphosphate carboxylase large chain,418,Hymenophyllum javanicum,True,True
A0A023HN53,Ribulose bisphosphate carboxylase large chain,418,Hymenophyllum australe,True,True
A0A023HN91,Ribulose bisphosphate carboxylase large chain,418,Hymenophyllum gracilescens,True,True
A0A023HNA3,Ribulose bisphosphate carboxylase large chain,475,Aconitum barbatum var. puberulum,True,True
A0A023HP98,Ribulose bisphosphate carboxylase large chain,280,Pharus mezii,True,True
A0A023HP99,Ribulose bisphosphate carboxylase large chain,280,Leptaspis zeylanica,True,True
A0A023HPA0,Ribulose bisphosphate carboxylase large chain,475,Trifolium repens,True,True
A0A023HPX3,Ribulose bisphosphate carboxylase large chain,475,Trifolium grandiflorum,True,True
A0A023HQ08,Ribulose bisphosphate carboxylase large chain,475,Trifolium aureum,True,True
A0A023HRK5,Ribulose bisphosphate carboxylase large chain,488,Pyropia perforata,True,True
A0A023HT40,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,246,Attheya septentrionalis,True,True
A0A023HT43,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Bacillariophyceae sp. 1 SEH-2013,True,True
A0A023HT47,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Attheya septentrionalis,True,True
A0A023HT49,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Chaetoceros sp. 7BOF,True,True
A0A023HT51,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Bacillariophyceae sp. 1 SEH-2013,True,True
A0A023HT54,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Cylindrotheca sp. 2BOF,True,True
A0A023HT56,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Detonula confervacea,False,False
